"Time Stamp","Time Zone","Name","PTID","Load"
"12/13/2019 02:45:00","EST","WEST",61752,1549.2
"12/13/2019 02:50:00","EST","CAPITL",61757,1217.8
"12/13/2019 02:50:00","EST","CENTRL",61754,1686.7
"12/13/2019 02:50:00","EST","DUNWOD",61760,540.2
"12/13/2019 02:50:00","EST","GENESE",61753,1012.3
"12/13/2019 02:50:00","EST","HUD VL",61758,970.1
"12/13/2019 02:50:00","EST","LONGIL",61762,1902.5
"12/13/2019 02:50:00","EST","MHK VL",61756,869.2
"12/13/2019 02:50:00","EST","MILLWD",61759,314.4
"12/13/2019 02:50:00","EST","N.Y.C.",61761,4691.3
"12/13/2019 02:50:00","EST","NORTH",61755,592.3
"12/13/2019 02:50:00","EST","WEST",61752,1536
"12/13/2019 02:55:00","EST","CAPITL",61757,1213.8
"12/13/2019 02:55:00","EST","CENTRL",61754,1705.2
"12/13/2019 02:55:00","EST","DUNWOD",61760,544.8
"12/13/2019 02:55:00","EST","GENESE",61753,1007
"12/13/2019 02:55:00","EST","HUD VL",61758,979.2
"12/13/2019 02:55:00","EST","LONGIL",61762,1885.2
"12/13/2019 02:55:00","EST","MHK VL",61756,858.1
"12/13/2019 02:55:00","EST","MILLWD",61759,316.7
"12/13/2019 02:55:00","EST","N.Y.C.",61761,4675.9
"12/13/2019 02:55:00","EST","NORTH",61755,595.1
"12/13/2019 02:55:00","EST","WEST",61752,1543
"12/13/2019 03:00:00","EST","CAPITL",61757,1207.4
"12/13/2019 03:00:00","EST","CENTRL",61754,1673.6
"12/13/2019 03:00:00","EST","DUNWOD",61760,542.9
"12/13/2019 03:00:00","EST","GENESE",61753,1007.1
"12/13/2019 03:00:00","EST","HUD VL",61758,959.9
"12/13/2019 03:00:00","EST","LONGIL",61762,1880
"12/13/2019 03:00:00","EST","MHK VL",61756,868.7
"12/13/2019 03:00:00","EST","MILLWD",61759,315.9
"12/13/2019 03:00:00","EST","N.Y.C.",61761,4676.5
"12/13/2019 03:00:00","EST","NORTH",61755,593.2
"12/13/2019 03:00:00","EST","WEST",61752,1527.4
"12/13/2019 03:05:00","EST","CAPITL",61757,1212.3
"12/13/2019 03:05:00","EST","CENTRL",61754,1684.4
"12/13/2019 03:05:00","EST","DUNWOD",61760,538.5
"12/13/2019 03:05:00","EST","GENESE",61753,1004.8
"12/13/2019 03:05:00","EST","HUD VL",61758,977.9
"12/13/2019 03:05:00","EST","LONGIL",61762,1880.3
"12/13/2019 03:05:00","EST","MHK VL",61756,865.5
"12/13/2019 03:05:00","EST","MILLWD",61759,316.7
"12/13/2019 03:05:00","EST","N.Y.C.",61761,4665.8
"12/13/2019 03:05:00","EST","NORTH",61755,600.4
"12/13/2019 03:05:00","EST","WEST",61752,1533.8
